Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
 南 ,文三西路, 无电梯,7,美都新村  ,103102598878, 2室1厅 ,290,西湖, 简装 ,69.24,1998
 南 北 ,九莲, 无电梯,7,九莲新村  ,103102610277, 3室1厅 ,300,西湖, 简装 ,73.9,1987
 南 ,翠苑, 无电梯,7,翠苑一区  ,103102718784, 2室1厅 ,238,西湖, 简装 ,46.89,1988
 南 北 ,西溪, 有电梯,14,西溪诚园致诚苑  ,103102754329, 3室1厅 ,625,西湖, 精装 ,87.57,2015
 南 ,文三, 无电梯,6,马塍路11号  ,103102891586, 2室1厅 ,420,西湖, 其他 ,62.83,1995
 南 ,文三西路, 无电梯,6,颐景园  ,103102250823, 3室2厅 ,540,西湖, 简装 ,123.5,2000
 南 ,文三西路, 无电梯,7,金田花园  ,103102266798, 3室1厅 ,355,西湖, 简装 ,91.37,1996
 南 ,文三西路, 无电梯,7,金田花园  ,103102500349, 3室1厅 ,320,西湖, 简装 ,75.42,1996
 南 北 ,学军, 无电梯,7,西溪河东  ,103102530312, 2室2厅 ,600,西湖, 简装 ,77.67,1996
 南 ,学军, 无电梯,4,求智巷  ,103102624555, 2室1厅 ,580,西湖, 简装 ,59.45,1983
 南 ,翠苑, 有电梯,23,天苑花园  ,103101581356, 2室1厅 ,289,西湖, 简装 ,72.77,1998
 南 ,文教, 无电梯,6,文二路68号  ,103101625590, 2室1厅 ,300,西湖, 简装 ,48.71,1986
 南 ,文三, 无电梯,5,文三新村  ,103101835140, 2室1厅 ,430,西湖, 简装 ,66.2,1988
 南 ,文教, 无电梯,7,莫干山路633号  ,103102172423, 2室2厅 ,385,西湖, 简装 ,73.95,1995
 南 ,文三西路, 无电梯,7,金都花园  ,103102178171, 2室2厅 ,268,西湖, 简装 ,72.35,1997
 南 北 ,古荡, 无电梯,6,黄龙公寓  ,103102290652, 3室2厅 ,420,西湖, 简装 ,105.26,2005
 南 ,文三西路, 无电梯,7,美都新村  ,103102321518, 2室2厅 ,280,西湖, 简装 ,67.8,1998
 南 北 ,翠苑, 有电梯,24,天苑花园  ,103102408176, 3室2厅 ,360,西湖, 简装 ,89.55,1998
 南 ,小和山, 无电梯,6,水木清华  ,103102478416, 3室2厅 ,255,西湖, 简装 ,129.08,2008
 南 ,三墩, 有电梯,26,金地自在城  ,103102499146, 3室2厅 ,355,西湖, 精装 ,89.64,2012
 南 ,古荡, 无电梯,6,古荡新村西区  ,103102534950, 2室1厅 ,290,西湖, 精装 ,66.39,1990
 南 ,三墩, 无电梯,26,金地自在城  ,103102542465, 3室2厅 ,385,西湖, 精装 ,66.39,2012
,西溪,,18,融创河滨之城  ,103102515130, 3室2厅 ,480,西湖,,,2016
 南 ,九莲, 无电梯,7,九莲新村  ,103102603023, 2室1厅 ,228,西湖, 简装 ,55.08,1987
 南 ,学军, 无电梯,5,马塍路28号  ,103101657242, 3室1厅 ,550,西湖, 简装 ,73.72,1985
 南 ,九莲, 无电梯,6,九莲新村  ,103101697099, 3室1厅 ,275,西湖, 简装 ,72.79,1987
 南 北 ,翠苑, 无电梯,6,翠苑一区  ,103101795629, 1室1厅 ,210,西湖, 精装 ,43.69,1986
 南 ,翠苑, 无电梯,7,翠苑四区  ,103101892653, 2室1厅 ,235,西湖, 精装 ,51.7,1993
 南 ,西溪,,6,浙江油田留下小区  ,103102001959, 2室1厅 ,205,西湖, 简装,57.5,1991
 南 ,翠苑, 无电梯,7,翠苑四区  ,103102379535, 2室1厅 ,223,西湖, 简装 ,52.03,1993
 南 ,古荡, 无电梯,6,古荡新村西区  ,103102624065, 2室1厅 ,220,西湖, 精装 ,53.94,1990
 南 ,三墩, 无电梯,25,金地自在城  ,103102625738, 3室1厅 ,348,西湖, 精装 ,53.94,2012
 南 北 ,文三西路, 无电梯,7,紫金公寓  ,103102650763, 2室1厅 ,262,西湖, 精装 ,60.34,1996
 南 北 ,嘉绿, 有电梯,21,金色蓝庭  ,103102747074, 3室2厅 ,530,西湖, 精装 ,88.67,2010
 南 ,文三西路, 无电梯,6,西荡苑桃苑  ,103102770882, 2室2厅 ,290,西湖, 精装 ,59.69,2003
 南 ,嘉绿, 无电梯,5,嘉绿西苑  ,103101538682, 3室2厅 ,595,西湖, 简装 ,134.18,2000
 南 ,西溪, 有电梯,15,坤和和家园  ,103101843950, 4室2厅 ,750,西湖, 简装 ,185.98,2009
 南 ,转塘, 有电梯,18,梧桐燕庐  ,103101901817, 3室1厅 ,340,西湖, 简装 ,185.98,2013
 南 ,黄龙, 无电梯,6,桃园新村  ,103102323403, 2室1厅 ,360,西湖, 简装 ,50.6,1988
 南 ,文三西路, 无电梯,7,康乐香港城  ,103102398749, 1室1厅 ,185,西湖, 简装 ,40.15,1998
 南 ,西溪, 有电梯,11,中海西溪华府  ,103102492213, 3室1厅 ,510,西湖, 精装 ,88.8,2013
 南 ,转塘, 有电梯,14,中海定山府  ,103102846798, 4室1厅 ,960,西湖, 精装 ,260,2010
 南 北 ,西溪, 有电梯,9,坤和和家园  ,103102885728, 4室2厅 ,750,西湖, 精装 ,171.35,2012
 南 北 ,西溪, 有电梯,15,坤和西溪里  ,103102925545, 3室1厅 ,690,西湖, 简装 ,137,2012
 南 ,九莲, 无电梯,6,九莲新村  ,103101202818, 3室2厅 ,360,西湖, 毛坯 ,95.62,1986
 南 北 ,申花, 有电梯,12,和苑小区  ,103101790806, 4室2厅 ,650,西湖, 毛坯 ,133.28,2009
 南 ,嘉绿, 无电梯,5,嘉绿西苑  ,103101884222, 3室2厅 ,440,西湖, 简装 ,98.3,1999
 南 北 ,西溪, 有电梯,16,坤和和家园  ,103102011896, 4室2厅 ,870,西湖, 精装 ,191.96,2013
 南 北 ,转塘, 有电梯,11,佳兆业玖珑山  ,103102170209, 5室2厅 ,560,西湖, 精装 ,168,2014
 南 ,西溪,,18,融创河滨之城  ,103102250835, 4室2厅 ,630,西湖, 精装,118.51,2016
 南 ,文一西路, 有电梯,10,星洲花园花柏美舍  ,103102362078, 4室2厅 ,860,西湖, 精装 ,171.98,2000
 南 ,黄龙, 无电梯,7,友谊新村  ,103102402070, 2室2厅 ,400,西湖, 简装 ,67.48,1989
 南 ,古荡, 有电梯,12,中兴文都苑  ,103102436206, 3室2厅 ,625,西湖, 简装 ,125,2004
 南 ,文三西路, 有电梯,11,山水人家白沙岛  ,103102258335, 4室2厅 ,680,西湖, 简装 ,169.06,2005
 南 北 ,翠苑, 无电梯,6,华星公寓  ,103102300730, 3室2厅 ,510,西湖, 简装 ,135,1995
 南 西 北 ,文三西路, 无电梯,6,秋水苑  ,103102418586, 3室2厅 ,580,西湖, 精装 ,122,2003
 南 北 ,西溪, 有电梯,10,西溪蝶园一期  ,103102587168, 4室2厅 ,970,西湖, 精装 ,191.39,2009
 南 北 ,西溪, 有电梯,14,西溪诚园致诚苑  ,103102773906, 2室1厅 ,626,西湖, 精装 ,88.02,2015
 南 ,三墩, 有电梯,17,乾成园  ,103102900074, 2室1厅 ,235,西湖, 精装 ,62.61,2009
 南 ,学军, 无电梯,6,西溪河东  ,103101841767, 2室2厅 ,600,西湖, 简装 ,75.28,1984
 南 北 ,文教, 无电梯,6,文二路46号  ,103101860589, 2室2厅 ,360,西湖, 精装 ,61.68,1985
 南 北 ,文三西路, 无电梯,7,金田花园  ,103102073801, 2室1厅 ,280,西湖, 简装 ,69.26,1996
 南 北 ,三墩, 无电梯,6,金厦公寓  ,103102138532, 3室2厅 ,396,西湖, 简装 ,134.05,1998
 南 ,文三西路, 无电梯,7,金海公寓  ,103102225912, 2室2厅 ,320,西湖, 简装 ,76.13,1996
 南 北 ,文三西路, 无电梯,4,丹桂公寓  ,103102278031, 3室2厅 ,565,西湖, 简装 ,113.26,1997
 南 北 ,三墩, 无电梯,6,金厦公寓  ,103102294864, 3室2厅 ,345,西湖, 简装 ,103.2,1998
 南 ,嘉绿, 无电梯,7,嘉绿北苑  ,103102329560, 2室2厅 ,352,西湖, 简装 ,69.71,1998
 南 ,文三西路, 无电梯,6,颐景园  ,103102511182, 4室2厅 ,686,西湖, 精装 ,132.18,2000
 南 北 ,文一西路, 有电梯,11,星洲花园格兰馨芦  ,103102183217, 3室2厅 ,700,西湖, 简装 ,144.3,2000
 南 北 ,文一西路, 有电梯,11,嘉南公寓小高层  ,103102202413, 4室2厅 ,650,西湖, 简装 ,132.55,2003
 南 ,文一西路, 无电梯,6,南都花园三区  ,103102265155, 3室1厅 ,350,西湖, 简装 ,81.91,1996
 南 ,文三西路, 无电梯,7,康乐新村  ,103102509452, 3室1厅 ,248,西湖, 简装 ,65.02,1995
 南 北 ,文教, 无电梯,7,白荡海人家  ,103102513042, 2室2厅 ,508,西湖, 毛坯 ,86.31,2000
 南 北 ,学军, 有电梯,15,中大文锦苑  ,103101798743, 3室2厅 ,980,西湖, 精装 ,124.77,2001
 南 北 ,文一西路, 有电梯,6,星洲花园花柏美舍  ,103102518643, 2室1厅 ,518,西湖, 精装 ,124.77,2000
 南 ,转塘, 有电梯,16,中海定山府  ,103102199644, 6室2厅 ,830,西湖, 毛坯 ,329.03,2010
 南 北 ,小和山,,2,浪漫和山  ,103102214085, 5室2厅 ,1300,西湖, 精装,372.24,
 南 ,转塘, 有电梯,17,中海定山府  ,103102215040, 3室2厅 ,350,西湖, 精装 ,88.73,2010
 南 ,之江, 有电梯,15,公元沐桥  ,103102293813, 3室2厅 ,465,西湖, 精装 ,138.21,2010
 南 ,之江, 有电梯,15,公元沐桥  ,103102293878, 3室1厅 ,295,西湖, 精装 ,88.98,2010
 南 ,文教, 有电梯,11,梧桐公寓  ,103102310501, 6室2厅 ,1700,西湖, 精装 ,223,2008
 南 北 ,文一西路, 无电梯,6,星洲花园红树林  ,103102374960, 4室2厅 ,850,西湖, 简装 ,184.5,2000
 南 ,三墩, 无电梯,1,金地自在城  ,103102456903, 6室2厅 ,1200,西湖, 毛坯 ,283.51,2012
 南 ,长庆, 无电梯,7,池塘巷5号  ,103102902659, 1室0厅 ,145,下城, 其他 ,29.79,1990
 南 ,朝晖, 无电梯,6,朝晖九区  ,103102903505, 2室1厅 ,213,下城, 简装 ,59.09,1995
 南 ,朝晖, 有电梯,20,领骏世界  ,103102909874, 1室2厅 ,260,下城, 精装 ,70.72,2012
 南 北 ,长庆, 有电梯,20,凤起都市花园  ,103102911150, 3室2厅 ,858,下城, 精装 ,156.54,2004
 南 ,天水,,7,中山北路369号  ,103102912380, 1室1厅 ,210,下城, 精装,36.47,
 南 ,天水, 无电梯,7,玄坛公寓  ,103102912755, 2室1厅 ,512,下城, 简装 ,91.66,1999
 南 ,三塘, 有电梯,16,阳光银泰城  ,103102913564, 1室0厅 ,125,下城, 其他 ,50.55,2014
 西 ,三塘,,12,杭州新天地  ,103102914249, 2室1厅 ,215,下城, 精装,48.66,2015
 南 ,三塘, 无电梯,6,长木新村  ,103102920482, 2室1厅 ,225,下城, 简装 ,55.76,1997
 南 ,三塘, 无电梯,5,三塘桂园  ,103102920912, 4室1厅 ,336,下城, 精装 ,84.88,2000
 南 北 ,三塘, 有电梯,20,香石公寓  ,103102920956, 4室2厅 ,755,下城, 精装 ,137.08,2012
 南 北 ,三塘, 有电梯,6,东新园东荷星苑  ,103102921505, 2室1厅 ,250,下城, 精装 ,137.08,2004
 南 ,流水苑, 无电梯,7,流水东苑  ,103102923144, 2室1厅 ,220,下城, 简装 ,55.11,1995
 南 ,三塘, 有电梯,16,万家星城  ,103102924661, 2室2厅 ,430,下城, 精装 ,85.77,2010
 西北 ,天水, 有电梯,14,社坛苑  ,103102926272, 3室1厅 ,550,下城, 简装 ,121,1997
 北 ,石桥, 有电梯,13,泰地北上新城  ,103102926471, 1室1厅 ,72,下城, 精装 ,32.94,2013
 南 ,石桥, 无电梯,6,天堂园轴承宿舍  ,103102927081, 2室1厅 ,215,下城, 其他 ,55.99,2000
 南 ,天水, 无电梯,8,皇亲苑  ,103102931850, 2室1厅 ,312,下城, 简装 ,50.56,1998
 南 北 ,三塘, 有电梯,11,东新园望景苑  ,103102938937, 3室2厅 ,457,下城, 简装 ,130.6,2004
 南 ,武林, 无电梯,7,万寿亭公寓  ,103102953852, 3室2厅 ,650,下城, 其他 ,95.23,2001
 南 ,和平, 有电梯,14,现代雅苑  ,103102954995, 2室1厅 ,440,下城, 精装 ,90.54,2003
 南 ,朝晖, 无电梯,5,朝晖一区  ,103102969347, 2室1厅 ,190,下城, 其他 ,40.36,1983
 南 北 ,景芳, 无电梯,7,景芳三区  ,103102922396, 2室1厅 ,240,江干, 毛坯 ,52.72,1996
 南 ,采荷, 无电梯,6,采荷新村  ,103102923908, 2室1厅 ,300,江干, 简装 ,57.11,1988
 南 ,丁桥, 有电梯,17,玺之湾  ,103102925398, 4室1厅 ,385,江干, 毛坯 ,128.01,2014
 南 ,四季青, 无电梯,6,观音塘小区  ,103102925759, 2室1厅 ,275,江干, 简装 ,58.16,1993
 南 北 ,丁桥, 有电梯,16,广宇上东领地  ,103102925811, 4室2厅 ,485,江干, 毛坯 ,149.59,2011
 南 北 ,南肖埠, 无电梯,6,华家池  ,103102927532, 2室1厅 ,295,江干, 其他 ,64.35,1988
 南 ,丁桥,,14,三义锦唐苑  ,103102928525, 3室2厅 ,219,江干, 简装,79.84,
 南 北 ,闸弄口, 无电梯,6,闸弄口新村  ,103102929565, 2室1厅 ,200,江干, 其他 ,50.93,1985
 南 北 ,华家池,,24,滨江华家池  ,103102930131, 5室2厅 ,1415,江干, 其他,277.45,
 南 ,丁桥, 有电梯,13,城发云锦城  ,103102930580, 3室2厅 ,280,江干, 精装 ,87.62,2018
 南 北 ,丁桥,,17,龙湖武林九里  ,103102930598, 3室2厅 ,340,江干, 简装,89.74,2018
 南 ,南肖埠, 有电梯,30,新城市广场  ,103102931655, 1室1厅 ,130,江干, 其他 ,45.93,2000
 南 ,城东新城,,17,滨江德信东方星城  ,103102931857, 3室1厅 ,455,江干, 毛坯,89.19,2018
 南 ,丁桥,,8,置鼎明珠1号  ,103102933513, 2室1厅 ,115,江干, 毛坯,89.19,2016
 东北 ,丁桥,,16,柏悦公馆  ,103102937722, 2室1厅 ,210,江干, 毛坯,88.3,
 南 西 北 ,九堡, 有电梯,24,康恒悦麒美寓  ,103102938625, 3室2厅 ,550,江干, 毛坯 ,142.41,2016
 南 西 北 ,丁桥, 有电梯,17,金地格林格林  ,103102940246, 3室2厅 ,255,江干, 毛坯 ,142.41,2015
 南 ,闸弄口, 有电梯,20,天运花园  ,103102952572, 3室2厅 ,650,江干, 精装 ,154,2006
 南 ,闸弄口, 无电梯,7,京惠花园  ,103102952583, 2室2厅 ,400,江干, 精装 ,98.09,1999
 南 ,闸弄口, 有电梯,11,万家花园家和苑  ,103102952658, 2室2厅 ,451,江干, 简装 ,100.25,2002
 南 ,丁桥, 有电梯,15,阳光逸城  ,103102954064, 2室2厅 ,225,江干, 精装 ,79.12,2010
 南 北 ,景芳,,23,中企艮山府  ,103102956242, 4室2厅 ,835,江干, 毛坯,211.06,2015
 南 ,湖墅, 无电梯,6,五一新村  ,103102865089, 3室1厅 ,420,拱墅, 简装 ,100,1997
 南 ,信义坊, 无电梯,6,塘河新村  ,103102885038, 2室0厅 ,200,拱墅, 精装 ,43.51,1988
 南 ,桥西, 有电梯,18,风景大院  ,103102885837, 3室2厅 ,643.5,拱墅, 精装 ,117.4,2010
 南 北 ,申花,,32,景致公寓  ,103102890169, 2室2厅 ,335,拱墅, 简装,86.5,
 南 东 ,桥西, 有电梯,11,名城燕园  ,103102891167, 3室1厅 ,650,拱墅, 毛坯 ,120.26,2010
 南 ,半山, 无电梯,7,杭钢北苑  ,103102891980, 2室1厅 ,198,拱墅, 精装 ,68.21,1996
 南 ,湖墅, 无电梯,6,长征新村  ,103102894124, 2室1厅 ,235,拱墅, 简装 ,57.57,1997
 南 ,信义坊, 无电梯,6,浪琴翠园  ,103102896547, 2室2厅 ,390,拱墅, 精装 ,88.84,2000
 南 ,湖墅, 无电梯,5,莫干新村  ,103102897128, 2室1厅 ,195,拱墅, 简装 ,48.42,1982
 南 ,和睦, 有电梯,16,联合世纪新筑  ,103102903076, 2室1厅 ,468,拱墅, 简装 ,94.04,2008
 南 ,拱宸桥, 有电梯,22,蚕花园永和坊  ,103102903344, 1室1厅 ,182,拱墅, 简装 ,52.15,2000
 南 ,申花, 有电梯,14,中天西城纪  ,103102905376, 2室1厅 ,152,拱墅, 精装 ,43.35,2014
 东 ,大关, 无电梯,7,大关东七苑  ,103102906705, 2室2厅 ,280,拱墅, 简装 ,66.7,1995
 南 北 ,拱宸桥, 无电梯,6,蚕花园永安坊  ,103102907677, 2室1厅 ,240,拱墅, 简装 ,60.18,1990
 南 北 ,桥西, 有电梯,24,新安天苑  ,103102910440, 2室2厅 ,320,拱墅, 其他 ,87.33,2000
 南 北 ,半山,,18,杭钢尚堂府  ,103102913235, 3室2厅 ,285,拱墅, 简装,88.97,2017
 南 北 ,大关, 无电梯,7,大关西五苑  ,103102913493, 2室2厅 ,305,拱墅, 简装 ,79.32,1996
 南 ,申花,,14,融信学院府  ,103102920138, 3室1厅 ,510,拱墅, 简装,89.51,2017
 南 ,三墩,,12,都市水乡水涟苑  ,103102920380, 2室2厅 ,310,拱墅, 毛坯,88.74,
 南 ,申花, 有电梯,14,中天西城纪  ,103102920470, 2室1厅 ,143,拱墅, 精装 ,43.36,2014
 南 ,拱宸桥, 有电梯,11,锦昌文华苑  ,103102920672, 3室2厅 ,672,拱墅, 精装 ,129.14,2007
 南 ,万达广场, 有电梯,23,方正御星  ,103102921606, 3室2厅 ,420,拱墅, 简装 ,89.08,2016
 南 北 ,湖墅, 无电梯,6,小河东村  ,103102927223, 2室1厅 ,220,拱墅, 简装 ,54.17,2000
 东南 南 ,和睦, 有电梯,11,景上公寓  ,103102928201, 3室2厅 ,710,拱墅, 精装 ,132.09,2008
 南 北 ,拱宸桥, 无电梯,5,蚕花园永安坊  ,103102937484, 2室1厅 ,227,拱墅, 精装 ,70.83,1983
 南 ,大关, 无电梯,6,大关西五苑  ,103102938515, 2室1厅 ,230,拱墅, 精装 ,57.02,1996
 西北 ,湖墅, 有电梯,18,稻香园南区  ,103102952670, 3室2厅 ,400,拱墅, 简装 ,109.4,2000
 南 ,拱宸桥, 无电梯,6,定海西园  ,103102953277, 1室1厅 ,160,拱墅, 简装 ,40.39,
 东 南 北 ,复兴, 无电梯,5,白塔人家  ,103102501559, 3室2厅 ,400,上城, 精装 ,70.79,2012
 南 ,南星, 无电梯,6,凤凰南苑  ,103102504668, 4室3厅 ,720,上城, 简装 ,148.58,2003
 南 北 ,南星,,18,金隅学府  ,103102520470, 3室1厅 ,750,上城, 精装,89.25,2018
 南 ,望江, 有电梯,21,望江新园一园  ,103102525559, 2室2厅 ,415,上城, 简装 ,88.17,2016
 南 ,清泰, 无电梯,7,森仁里1-3号  ,103102645657, 2室0厅 ,193,上城, 简装 ,42.72,1988
 南 ,复兴, 无电梯,6,复兴南苑  ,103102650839, 3室2厅 ,475,上城, 简装 ,110.67,2000
 西 北 ,湖滨, 无电梯,7,东平巷小区  ,103102660524, 2室1厅 ,224,上城, 精装 ,45.7,2000
 东 西 ,潮鸣, 无电梯,7,小河下小区  ,103102680356, 2室1厅 ,215,上城, 简装 ,48.91,1993
